Id,SalePrice
1461,129000
1462,135000
1463,192000
1464,175000
1465,189000
1466,178000
1467,175000
1468,185000
1469,147000
1470,112500
1471,155000
1472,118000
1473,88000
1474,148500
1475,148500
1476,485000
1477,233170
1478,315000
1479,250000
1480,466500
1481,255000
1482,202500
1483,201000
1484,167240
1485,184100
1486,183500
1487,240000
1488,232000
1489,208300
1490,220000
1491,180000
1492,102000
1493,187000
1494,290000
1495,190000
1496,328900
1497,146000
1498,151000
1499,151000
1500,160000
1501,177500
1502,148800
1503,197000
1504,239500
1505,185000
1506,190000
1507,175000
1508,175000
1509,154000
1510,145250
1511,140000
1512,167000
1513,140000
1514,136500
1515,175000
1516,143000
1517,147000
1518,124000
1519,203000
1520,135000
1521,142000
1522,143000
1523,135000
1524,142125
1525,128500
1526,125000
1527,134900
1528,105000
1529,142125
1530,210000
1531,112000
1532,115000
1533,142125
1534,115000
1535,115000
1536,115000
1537,115000
1538,205000
1539,266500
1540,90000
1541,125500
1542,140000
1543,210000
1544,100000
1545,128000
1546,131000
1547,119000
1548,127000
1549,120500
1550,162900
1551,102000
1552,135000
1553,127000
1554,125500
1555,167500
1556,112000
1557,125000
1558,110000
1559,81000
1560,140000
1561,141000
1562,127000
1563,129500
1564,165500
1565,154000
1566,260000
1567,125500
1568,190000
1569,120000
1570,155000
1571,105000
1572,147500
1573,324000
1574,160000
1575,275000
1576,284000
1577,194500
1578,140000
1579,147000
1580,175000
1581,154000
1582,123000
1583,350000
1584,222500
1585,140000
1586,84000
1587,112000
1588,148000
1589,125500
1590,125000
1591,108000
1592,142125
1593,119000
1594,200000
1595,130000
1596,165000
1597,154300
1598,148000
1599,189000
1600,189000
1601,60000
1602,110000
1603,85000
1604,275000
1605,210000
1606,171500
1607,171000
1608,186000
1609,179900
1610,167500
1611,140000
1612,201000
1613,175000
1614,75500
1615,97000
1616,75000
1617,88000
1618,125000
1619,124500
1620,76500
1621,120500
1622,140000
1623,217000
1624,240000
1625,120500
1626,210000
1627,181000
1628,225000
1629,168500
1630,501837
1631,251000
1632,251000
1633,180000
1634,175000
1635,165600
1636,175000
1637,162900
1638,185000
1639,210000
1640,210000
1641,180000
1642,205950
1643,240000
1644,207500
1645,157000
1646,210000
1647,210000
1648,142125
1649,135000
1650,120500
1651,120500
1652,100000
1653,83000
1654,155000
1655,127500
1656,146000
1657,148500
1658,148500
1659,148500
1660,147000
1661,315000
1662,253293
1663,315000
1664,466500
1665,245000
1666,315000
1667,259000
1668,320000
1669,255500
1670,320000
1671,271000
1672,555000
1673,309000
1674,250000
1675,185850
1676,196000
1677,230000
1678,386250
1679,315000
1680,318061
1681,318061
1682,325000
1683,171750
1684,174000
1685,174000
1686,160200
1687,184100
1688,222500
1689,215000
1690,183200
1691,188500
1692,215000
1693,184100
1694,193000
1695,170000
1696,214000
1697,170000
1698,333168
1699,290000
1700,240000
1701,240000
1702,248328
1703,287090
1704,297000
1705,310000
1706,385000
1707,250580
1708,232600
1709,232000
1710,185000
1711,310000
1712,257000
1713,339750
1714,185000
1715,216000
1716,142500
1717,142500
1718,84500
1719,200000
1720,204000
1721,155000
1722,84500
1723,155000
1724,147000
1725,240000
1726,175900
1727,179200
1728,193000
1729,171000
1730,144000
1731,120500
1732,129900
1733,128500
1734,116050
1735,136500
1736,125500
1737,385000
1738,175000
1739,250000
1740,208900
1741,197000
1742,177500
1743,183900
1744,222000
1745,170000
1746,187000
1747,175000
1748,250000
1749,143000
1750,157900
1751,142125
1752,130000
1753,140000
1754,205000
1755,175000
1756,129000
1757,109008
1758,105000
1759,136500
1760,210000
1761,140000
1762,175000
1763,158000
1764,128900
1765,60000
1766,163000
1767,143000
1768,135000
1769,159000
1770,136500
1771,141000
1772,142125
1773,155000
1774,135000
1775,135000
1776,142125
1777,119000
1778,142125
1779,109500
1780,140000
1781,119000
1782,109000
1783,125500
1784,112000
1785,120000
1786,135000
1787,210000
1788,86000
1789,110000
1790,86000
1791,200000
1792,155000
1793,110000
1794,120500
1795,135000
1796,139000
1797,139000
1798,142125
1799,119000
1800,145000
1801,135000
1802,140000
1803,171000
1804,165500
1805,140000
1806,125000
1807,122500
1808,125500
1809,52000
1810,119000
1811,55000
1812,125500
1813,125500
1814,100000
1815,72500
1816,100000
1817,160000
1818,117500
1819,116000
1820,100000
1821,115000
1822,125500
1823,34900
1824,142125
1825,105000
1826,105000
1827,102000
1828,127500
1829,120000
1830,140000
1831,140000
1832,130000
1833,152000
1834,142125
1835,122000
1836,125000
1837,60000
1838,140000
1839,142125
1840,179000
1841,179000
1842,135000
1843,132000
1844,135000
1845,135000
1846,155000
1847,125000
1848,93000
1849,93000
1850,128900
1851,140000
1852,139000
1853,130000
1854,147000
1855,176000
1856,210000
1857,115000
1858,142953
1859,118964
1860,153337
1861,118964
1862,189000
1863,189000
1864,189000
1865,367294
1866,297000
1867,193879
1868,297000
1869,185000
1870,245350
1871,295493
1872,174000
1873,175000
1874,138000
1875,179000
1876,181000
1877,227000
1878,203000
1879,125500
1880,137000
1881,230000
1882,222500
1883,180000
1884,230000
1885,203000
1886,275000
1887,210000
1888,235000
1889,156932
1890,142125
1891,145000
1892,110000
1893,135000
1894,136500
1895,135000
1896,119000
1897,110000
1898,154900
1899,137500
1900,110000
1901,160000
1902,140000
1903,239000
1904,140000
1905,167000
1906,60000
1907,143000
1908,124000
1909,124000
1910,124000
1911,178000
1912,335000
1913,122500
1914,34900
1915,392500
1916,84000
1917,278000
1918,171000
1919,123000
1920,181000
1921,378500
1922,315500
1923,215000
1924,175000
1925,202900
1926,320000
1927,127000
1928,129000
1929,133900
1930,133900
1931,147000
1932,125500
1933,167900
1934,181000
1935,185000
1936,192000
1937,181000
1938,173000
1939,213500
1940,189000
1941,181000
1942,165600
1943,180000
1944,377426
1945,377500
1946,143000
1947,266000
1948,225000
1949,185000
1950,165000
1951,210000
1952,210000
1953,175000
1954,171000
1955,154000
1956,265979
1957,175000
1958,250000
1959,136000
1960,110000
1961,123000
1962,83000
1963,118000
1964,106000
1965,148500
1966,148500
1967,318000
1968,555000
1969,315000
1970,315000
1971,184750
1972,354000
1973,310000
1974,350000
1975,745000
1976,285000
1977,315000
1978,333168
1979,367294
1980,194700
1981,318061
1982,254000
1983,254000
1984,175500
1985,215000
1986,174000
1987,172500
1988,180000
1989,225000
1990,215000
1991,224000
1992,175000
1993,174000
1994,230000
1995,181000
1996,248000
1997,248000
1998,350000
1999,268000
2000,290000
2001,290000
2002,232000
2003,227000
2004,284000
2005,179900
2006,250580
2007,250000
2008,185000
2009,212000
2010,180000
2011,141000
2012,142500
2013,175900
2014,187000
2015,272000
2016,216000
2017,187000
2018,128200
2019,124500
2020,125000
2021,110000
2022,181500
2023,117000
2024,271000
2025,285000
2026,185000
2027,151000
2028,146000
2029,179400
2030,328900
2031,149300
2032,286000
2033,328900
2034,160000
2035,186500
2036,172500
2037,174000
2038,176000
2039,270000
2040,290000
2041,210000
2042,175000
2043,145000
2044,140000
2045,143000
2046,135000
2047,154000
2048,120500
2049,142600
2050,154000
2051,106500
2052,140000
2053,124000
2054,112000
2055,167500
2056,140000
2057,139000
2058,187000
2059,139000
2060,142125
2061,167000
2062,128900
2063,110000
2064,135000
2065,119000
2066,163000
2067,115000
2068,141000
2069,97000
2070,112000
2071,105900
2072,123000
2073,130000
2074,165000
2075,142000
2076,110000
2077,141000
2078,124000
2079,127000
2080,119000
2081,110000
2082,141000
2083,140000
2084,110000
2085,142125
2086,147000
2087,105000
2088,98000
2089,80000
2090,109500
2091,96500
2092,140000
2093,105000
2094,97000
2095,140000
2096,100000
2097,110000
2098,128500
2099,35311
2100,67000
2101,160000
2102,143000
2103,112000
2104,122500
2105,127000
2106,60000
2107,107500
2108,100000
2109,107900
2110,120500
2111,140000
2112,145000
2113,117000
2114,112000
2115,127000
2116,119000
2117,120500
2118,132500
2119,137500
2120,104900
2121,100000
2122,128000
2123,112000
2124,127000
2125,107500
2126,135000
2127,127500
2128,109500
2129,110000
2130,118500
2131,102000
2132,100000
2133,100000
2134,119500
2135,73000
2136,55000
2137,110000
2138,132500
2139,171000
2140,130000
2141,129000
2142,122000
2143,134900
2144,125000
2145,130000
2146,140000
2147,143000
2148,110000
2149,130000
2150,210000
2151,116900
2152,108000
2153,142125
2154,118500
2155,105000
2156,200000
2157,220000
2158,228000
2159,194500
2160,156932
2161,295493
2162,318000
2163,297000
2164,175000
2165,185000
2166,145000
2167,175000
2168,193000
2169,193000
2170,230000
2171,155000
2172,110000
2173,155000
2174,228500
2175,261500
2176,275000
2177,195000
2178,222500
2179,143000
2180,206300
2181,210000
2182,245350
2183,185000
2184,139000
2185,140000
2186,155000
2187,149900
2188,149500
2189,149900
2190,82000
2191,82000
2192,84500
2193,86000
2194,112000
2195,123000
2196,127000
2197,125500
2198,140000
2199,164000
2200,140000
2201,139000
2202,155000
2203,230000
2204,160000
2205,140000
2206,120000
2207,230000
2208,210000
2209,141000
2210,124000
2211,119000
2212,125500
2213,127000
2214,140000
2215,125000
2216,152000
2217,39300
2218,79000
2219,135000
2220,100000
2221,392500
2222,275000
2223,328000
2224,175000
2225,126000
2226,210000
2227,175000
2228,201000
2229,237000
2230,167500
2231,201000
2232,175000
2233,175000
2234,220000
2235,193000
2236,201000
2237,270000
2238,206300
2239,147000
2240,162000
2241,143000
2242,129900
2243,127000
2244,91000
2245,91000
2246,135000
2247,97000
2248,130500
2249,112000
2250,112000
2251,140000
2252,210000
2253,169000
2254,180000
2255,192000
2256,162000
2257,175000
2258,173000
2259,181000
2260,155000
2261,170000
2262,180000
2263,325000
2264,311872
2265,160000
2266,277500
2267,369900
2268,385000
2269,140000
2270,240000
2271,210000
2272,190000
2273,180000
2274,210000
2275,185000
2276,170000
2277,140000
2278,123000
2279,110000
2280,123000
2281,181000
2282,181000
2283,88000
2284,113000
2285,148500
2286,100000
2287,394617
2288,280000
2289,440000
2290,385000
2291,325000
2292,315000
2293,555000
2294,556581
2295,385000
2296,174000
2297,339750
2298,320000
2299,354000
2300,340000
2301,310000
2302,232000
2303,214000
2304,232600
2305,196000
2306,196000
2307,194700
2308,209500
2309,277500
2310,254000
2311,171750
2312,178900
2313,180000
2314,156932
2315,156932
2316,156932
2317,185000
2318,179540
2319,176000
2320,176485
2321,175900
2322,159895
2323,190000
2324,184100
2325,193879
2326,170000
2327,219500
2328,215000
2329,173000
2330,175000
2331,340000
2332,285000
2333,310000
2334,248000
2335,290000
2336,290000
2337,232600
2338,220000
2339,232000
2340,385000
2341,235128
2342,214000
2343,175000
2344,190000
2345,232000
2346,185000
2347,250580
2348,227875
2349,227875
2350,339750
2351,182000
2352,250000
2353,317000
2354,84500
2355,84500
2356,155000
2357,232000
2358,175900
2359,99500
2360,112500
2361,132000
2362,240000
2363,156000
2364,148000
2365,197000
2366,185000
2367,185000
2368,208900
2369,196000
2370,179400
2371,177500
2372,185000
2373,239000
2374,266000
2375,270000
2376,244000
2377,244000
2378,154000
2379,205000
2380,142125
2381,197900
2382,210000
2383,175000
2384,175000
2385,155000
2386,142125
2387,142125
2388,101800
2389,142125
2390,163000
2391,145000
2392,115000
2393,155000
2394,145000
2395,171000
2396,155000
2397,165500
2398,135000
2399,82500
2400,100000
2401,115000
2402,135000
2403,124000
2404,197000
2405,163000
2406,129000
2407,128500
2408,142125
2409,148000
2410,205000
2411,114500
2412,135000
2413,128900
2414,142125
2415,124000
2416,135000
2417,139400
2418,142125
2419,108500
2420,119000
2421,119000
2422,136500
2423,94000
2424,144000
2425,189000
2426,135000
2427,94000
2428,139000
2429,110000
2430,128500
2431,105000
2432,142125
2433,135000
2434,141000
2435,140000
2436,97000
2437,109500
2438,123000
2439,100000
2440,128000
2441,102000
2442,100000
2443,115000
2444,110000
2445,95000
2446,115000
2447,325000
2448,180500
2449,98000
2450,140000
2451,161000
2452,180500
2453,97000
2454,97000
2455,107500
2456,140000
2457,112000
2458,132500
2459,119000
2460,120000
2461,117000
2462,117000
2463,87000
2464,117500
2465,140000
2466,127000
2467,110000
2468,87000
2469,87000
2470,140000
2471,140000
2472,159500
2473,90000
2474,91000
2475,145000
2476,125000
2477,125000
2478,175000
2479,125000
2480,142000
2481,138800
2482,140000
2483,110000
2484,120500
2485,130000
2486,155000
2487,129000
2488,135000
2489,129000
2490,140000
2491,109900
2492,207500
2493,132500
2494,160000
2495,135000
2496,187500
2497,119000
2498,110000
2499,84900
2500,140000
2501,135000
2502,135000
2503,135000
2504,189000
2505,210000
2506,248900
2507,372500
2508,279500
2509,232000
2510,192000
2511,185000
2512,213500
2513,215000
2514,260000
2515,145000
2516,204750
2517,138000
2518,144000
2519,237000
