Id,SalePrice
1461,1411156.5878163208
1462,1433419.5930780512
1463,1431883.544550533
1464,1434442.5444662594
1465,1469657.877352822
1466,1412645.612004506
1467,1425493.4222033662
1468,1418367.2086961982
1469,1451757.9954384486
1470,1433863.1472488218
1471,1419774.964368774
1472,1398586.9679047451
1473,1394252.0330673303
1474,1404205.3933750293
1475,1398122.1508195787
1476,1536200.3821887686
1477,1489241.0454740566
1478,1529310.7013215977
1479,1541380.6709031253
1480,1593769.7719735452
1481,1541118.9712303071
1482,1476175.4876909996
1483,1441333.7186287832
1484,1441807.5145374942
1485,1454025.4887845884
1486,1436002.328756235
1487,1537161.3931508088
1488,1464416.262522804
1489,1473211.3738848935
1490,1502563.7477647378
1491,1449533.3693827842
1492,1396423.1353783659
1493,1454512.6269198074
1494,1483582.072950007
1495,1493511.4671639851
1496,1497599.6520352303
1497,1435401.4737991276
1498,1451727.7993092588
1499,1437232.6006519045
1500,1437589.97260238
1501,1442400.933730397
1502,1435090.372376475
1503,1512319.3441712759
1504,1469718.065617355
1505,1476565.1940057478
1506,1435617.6700403667
1507,1452362.8474899218
1508,1440549.13690709
1509,1421347.0155388662
1510,1435171.4851697036
1511,1432634.1717282957
1512,1423406.9061570843
1513,1413031.428627022
1514,1412574.1812486812
1515,1420874.9774007448
1516,1418586.8743192046
1517,1441507.6161056305
1518,1395269.9667215948
1519,1458346.3620437472
1520,1431177.6057406156
1521,1422641.5121241477
1522,1434401.8255833988
1523,1415766.439038388
1524,1408569.1751360944
1525,1419646.9325859142
1526,1411209.602583638
1527,1403336.7021779357
1528,1400561.6149354796
1529,1450348.5834180624
1530,1451610.150181387
1531,1412284.420629581
1532,1409655.8351829662
1533,1429177.3216638793
1534,1405239.6812271415
1535,1401678.3540353342
1536,1392949.0094008683
1537,1369675.0012671691
1538,1397457.1755481013
1539,1412818.811515682
1540,1384300.230166134
1541,1399252.2191190883
1542,1409412.5555071845
1543,1440566.1655473108
1544,1395557.3195930463
1545,1412585.6214395645
1546,1429918.1478191162
1547,1409170.5645375638
1548,1425975.1286075232
1549,1423014.2186016426
1550,1420347.4956814884
1551,1395651.8695403035
1552,1423577.9084910094
1553,1413658.6323716086
1554,1390288.8430547216
1555,1427480.9347919957
1556,1383231.6414776198
1557,1393533.7656055228
1558,1420067.8976389323
1559,1392262.0296766465
1560,1397162.0869403011
1561,1411836.892022641
1562,1434066.4526265063
1563,1429232.5694150212
1564,1431680.8833841537
1565,1421541.0895318068
1566,1488437.820702841
1567,1389268.5089300019
1568,1481764.3099619797
1569,1421533.673422893
1570,1425426.7243612572
1571,1380924.756644648
1572,1420731.5542266206
1573,1489754.0060322876
1574,1426402.8194188713
1575,1504436.3541699587
1576,1462962.0535572707
1577,1455720.456622169
1578,1412025.578847256
1579,1434209.0810064054
1580,1432504.0097131901
1581,1447181.4791926662
1582,1427876.1409770842
1583,1475190.8642284838
1584,1443498.863487939
1585,1437124.7979254709
1586,1386292.321151529
1587,1404648.0891361502
1588,1456498.4936717828
1589,1381728.601215173
1590,1411379.1734426538
1591,1410690.2376012052
1592,1406517.6108304295
1593,1433321.277787697
1594,1399875.0691568297
1595,1414472.8539937395
1596,1466978.7848700671
1597,1443487.480733125
1598,1472200.9946847023
1599,1467100.061082237
1600,1453646.9955407963
1601,1388212.9412850006
1602,1410463.3871274474
1603,1384886.3501016148
1604,1526361.136453861
1605,1452906.205266737
1606,1415925.7342308317
1607,1410206.2774488642
1608,1475584.0616542469
1609,1459046.6561300647
1610,1429880.2765556178
1611,1427406.160189508
1612,1454493.700833809
1613,1427965.2297828873
1614,1437667.694133435
1615,1397174.4597361614
1616,1389972.3282773918
1617,1395276.7440304453
1618,1417165.9364819084
1619,1444102.4979939586
1620,1390677.2370153978
1621,1398183.7428225032
1622,1430299.2062369664
1623,1492363.0487810806
1624,1443894.8757081446
1625,1418852.2796619586
1626,1436301.950003535
1627,1432648.8026475697
1628,1474210.5046687326
1629,1429516.9172818172
1630,1533736.3223484135
1631,1507163.7338722483
1632,1488863.9023454688
1633,1445906.6923233126
1634,1445269.2605224852
1635,1429632.875052841
1636,1425578.2589466595
1637,1427532.783106348
1638,1403652.9586073612
1639,1431552.977796896
1640,1437060.9831632297
1641,1429387.6263982211
1642,1521312.5194529756
1643,1452007.0491924607
1644,1470683.9649928096
1645,1431693.7651029467
1646,1443597.8210369213
1647,1436574.8540454512
1648,1417138.0535480515
1649,1437462.5139385727
1650,1415962.5377970343
1651,1408244.9881344815
1652,1398596.2156206216
1653,1395646.2035012026
1654,1403512.8557857764
1655,1398737.6055652318
1656,1413510.4592410023
1657,1412307.858248646
1658,1430586.7877333048
1659,1411645.6953148027
1660,1435727.33944047
1661,1544686.4841053183
1662,1538514.3633577381
1663,1558646.3844966325
1664,1580912.920506273
1665,1530770.942391411
1666,1552656.507797725
1667,1539132.986401416
1668,1559772.571168616
1669,1548874.2812568876
1670,1555352.27017617
1671,1498036.7322003716
1672,1548854.1414160165
1673,1482955.945456673
1674,1476192.6306864326
